ProbeName,FoldChange,Regulation,GeneSymbol,RNAlength,chrom,strand,txStart,txEnd,"2,treatednormalized","3,treatednormalized","4,treatednormalized","5,treatednormalized","6,treatednormalized","1,controlnormalized",p_value
ASHGV40031832,2.4645456,up,G051067,2300,chr20,+,56034803,56039198,3.4126623,2.528178,6.0542393,3.7893815,2.5562348,2.3668175,0.078190153
ASHGV40007414,2.0816815,up,G014909,2563,chr11,-,81426671,82188796,2.7774138,2.3294015,3.96567,4.1709023,3.8794467,2.3668175,0.020128192
ASHGV40043023,4.8221688,up,GSE61474_XLOC_054324,838,chr6,-,12007775,12008894,3.4468598,5.299519,5.3776345,4.824594,4.233891,2.3668175,0.00023454
ASHGV40058556,2.0376988,up,G048860,2156,chr2,-,241004085,241007787,2.3348548,3.326032,2.7226157,2.3474622,6.237827,2.3668175,0.199050422
ASHGV40019795,2.2658069,up,RP11-104H15.8,330,chr17,-,7342477,7346646,5.5285153,5.2557774,4.0491815,5.816149,5.979738,4.1458473,0.008733088
ASHGV40045078,3.0052856,up,RP3-337H4.10,548,chr6,+,43529608,43530156,4.3683186,5.3446794,4.372078,3.894754,4.9298425,2.9944324,0.000229557
ASHGV40018664,2.1108836,up,RP11-279O17.3,481,chr16,+,8359963,8407862,4.2925615,5.602617,3.7715223,4.1930323,4.956,3.4852996,0.010096054
ASHGV40001438,2.4165526,up,CTD-2235C13.2,527,chr5,-,74615979,74632739,2.3348548,6.757682,2.3237648,3.9706473,2.8118906,2.3668175,0.165979072
ASHGV40059340,2.7851954,up,XLOC_002996,1716,chr3,+,195374391,195376247,4.0447226,2.9155626,5.6739106,2.9364138,3.6523705,2.3668175,0.019196867
ASHGV40023007,2.2269292,up,G038294,803,chr18,-,77151760,77153630,5.0283985,3.939153,7.5023384,4.644684,4.9282045,4.0535,0.092300072
ASHGV40045201,2.3554694,up,G071330,1641,chr6,+,55749756,55756654,5.044187,4.287369,4.5819383,4.899069,4.6826673,3.4630315,1.29902E-05
ASHGV40014869,8.6199389,up,RP11-596D21.1,975,chr14,+,31717833,31771945,6.001374,4.6971884,6.505497,6.2826867,3.8857296,2.3668175,0.000276769
ASHGV40011851,2.6367089,up,RP11-256L6.2,656,chr12,+,96419100,96421749,3.22237,2.9723601,4.3397307,3.8773856,4.4159327,2.3668175,0.001333754
ASHGV40011851,2.6367089,up,RP11-256L6.2,656,chr12,+,96419100,96421749,3.22237,2.9723601,4.3397307,3.8773856,4.4159327,2.3668175,0.001333754
ASHGV40011851,2.6367089,up,RP11-256L6.2,656,chr12,+,96419100,96421749,3.22237,2.9723601,4.3397307,3.8773856,4.4159327,2.3668175,0.001333754
ASHGV40041295,3.1203932,up,G069056,1309,chr5,-,180498775,180500272,6.341133,6.8096666,10.007338,6.4333415,6.4892025,5.5744085,0.047575828
ASHGV40044276,2.2687891,up,G073590,702,chr6,-,153915595,153964419,2.7386742,2.775674,4.412788,3.4807498,4.335814,2.3668175,0.011480637
ASHGV40003514,4.7050055,up,LINC00598,2092,chr13,-,41025070,41055143,4.620062,4.5411954,4.211847,4.6782894,4.9536757,2.3668175,6.92743E-08
ASHGV40059038,2.0695912,up,G079941,3557,chr8,+,25028881,25036051,2.9118392,3.6972501,4.5851154,2.3474622,3.5391498,2.3668175,0.024059568
ASHGV40053451,3.1604473,up,RP11-343J18.2,316,chr9,+,128819858,128921892,4.472355,4.2690377,5.228455,4.4783773,5.2227197,3.0740602,3.87741E-05
ASHGV40016352,2.1796742,up,CRTC3-AS1,654,chr15,-,91163240,91260371,3.392555,3.5416648,4.2996345,3.8346107,2.3861852,2.3668175,0.007504298
ASHGV40050689,3.1164034,up,G080966,3839,chr8,+,57625039,57630796,8.651812,9.15687,10.496743,9.80575,8.916918,7.7657366,0.001160254
ASHGV40022198,2.0521153,up,G007793,1002,chr1,-,244382068,244387062,4.2837543,5.4450827,3.9593935,4.539324,4.5512276,3.5186446,0.003005853
ASHGV40040542,4.796871,up,RP11-213H15.1,1046,chr5,-,90575913,90576959,4.643096,5.5604644,3.5239635,4.3146105,5.1024213,2.3668175,0.000185356
ASHGV40001470,4.5998153,up,RP11-789C1.1,469,chr4,+,171195069,171204230,4.7184615,3.3408942,3.9194314,4.790035,6.073145,2.3668175,0.00141198
ASHGV40008747,2.4584074,up,G014409,8497,chr11,+,68614946,68630488,2.5637078,6.025835,2.7912598,4.2091236,2.7327814,2.3668175,0.084877523
ASHGV40051785,4.0739303,up,FAM74A4,1860,chr9,-,65487272,65494386,3.832167,6.394998,5.6544614,5.1052094,3.7903762,2.9290211,0.004100625
ASHGV40000769,5.1297549,up,XX-FW83128A1.2,341,chrX,-,153562309,153563387,3.6247916,6.320159,3.841,4.7090764,5.13351,2.3668175,0.001249179
ASHGV40047241,2.5150092,up,TCRB,224,chr7,-,142231575,142231799,3.9264808,6.1558604,3.9185538,3.790645,4.6391215,3.1555686,0.017034334
ASHGV40056813,2.2758894,up,C21orf62-AS1,1215,chr21,+,34144410,34170016,7.810733,8.595349,7.77685,6.699498,7.1026087,6.4105773,0.006588081
ASHGV40001632,2.7598101,up,RP11-706F1.1,412,chr4,+,190114253,190126031,2.3348548,8.606617,2.3237648,3.5668888,2.324807,2.3668175,0.263459037
ASHGV40043006,3.2152087,up,RP11-360O19.4,1475,chr6,-,10511268,10514779,4.0331554,4.0948186,4.9933963,4.3799977,2.7572815,2.3668175,0.001733884
