ProbeName,FoldChange,Regulation,GeneSymbol,RNAlength,chrom,strand,txStart,txEnd,"2,treatednormalized","3,treatednormalized","4,treatednormalized","5,treatednormalized","6,treatednormalized","1,controlnormalized",p_value
ASHGV40009737,2.4064993,up,TM7SF3,4346,chr12,-,27124505,27167339,12.863429,11.530575,12.710562,11.794224,11.41434,10.79569,0.003075642754054833
ASHGV40020595,2.2900049,up,C17orf67,2043,chr17,-,54869273,54911256,6.046225,3.4626217,7.1470428,3.2220669,3.192087,3.418658,0.18741385949293518
ASHGV40024618,3.6758167,up,TULP2,1791,chr19,-,49384221,49401996,4.674153,6.42952,3.731847,3.9156961,2.4731956,2.3668175,0.020312054536621396
ASHGV40031340,13.1364749,up,MACROD2,4863,chr20,+,13976145,16033841,7.8617682,6.3667846,4.4239726,12.706682,9.400684,4.436472,0.029496732420600247
ASHGV40046238,4.0042635,up,RAPGEF5,6629,chr7,-,22157907,22396533,8.514367,9.245771,8.877388,8.194061,9.068071,6.7783947,5.78592322021778e-6
ASHGV40040114,2.9065394,up,UGT3A2,2385,chr5,-,36035118,36067023,4.4535766,5.762886,2.3237648,3.9106154,3.079757,2.3668175,0.03092576098396958
ASHGV40021590,4.2607509,up,CCL8,1351,chr17,+,32646065,32648421,4.262186,6.1016316,3.4681516,5.1285315,3.3291254,2.3668175,0.0039049770877630295
ASHGV40007358,2.4465766,up,KLHL35,1952,chr11,-,75133437,75141674,7.8939757,7.301381,7.6974096,7.929484,9.591987,6.792083,0.011176285228975303
ASHGV40040097,2.947484,up,C1QTNF3,3624,chr5,-,34017962,34043371,11.290016,8.990863,10.082846,8.964354,10.900196,8.486171,0.011436019328692341
ASHGV40038829,2.8679934,up,SHISA3,1971,chr4,+,42399855,42404504,4.839141,8.016965,4.387238,3.726808,5.082789,3.6905465,0.07357665537201388
ASHGV40006662,2.1358979,up,GALNT18,2531,chr11,-,11292420,11643561,8.621869,7.200388,6.602864,7.7104254,6.6566496,6.2635965,0.01924281424117306
ASHGV40044581,4.3600631,up,GCNT2,4691,chr6,+,10555948,10629601,7.677787,7.9841795,6.585492,10.192909,6.266261,5.6169767,0.015379958111685141
ASHGV40050832,25.9059334,up,CRISPLD1,4334,chr8,+,75896707,75946793,13.834139,14.25671,4.0099063,4.95772,10.598273,4.836139,0.06154456205647711
ASHGV40006199,5.3315719,up,ADRA2A,3889,chr10,+,112836789,112840662,8.511555,3.8032594,8.429205,7.620125,6.5517373,4.5686154,0.02407155113612243
ASHGV40057177,2.2195298,up,HIST1H1A,781,chr6,-,26017259,26018040,4.3050222,3.499817,7.4847765,5.4787655,5.3679256,4.0770073,0.12499678540072082
ASHGV40004889,4.6039631,up,SORCS1,7462,chr10,-,108333420,108924466,5.572216,4.712781,3.4601657,2.3474622,6.755844,2.3668175,0.021579374633577886
ASHGV40040461,2.4990673,up,ACOT12,1989,chr5,-,80625946,80689988,4.3022504,3.8849146,4.21171,3.1590753,2.883086,2.3668175,0.001653770087669296
ASHGV40022294,2.2842757,up,SYNGR2,1694,chr17,+,76164670,76169009,12.949282,12.413505,15.075337,13.422313,14.252797,12.43091,0.03565287517519487
ASHGV40055711,2.727505,up,NLGN4Y,5409,chrY,+,16635625,16955848,3.4048060000000002,6.88122,3.3399162,2.3474622,3.0985923,2.3668175,0.10402798670321729
ASHGV40032928,5.9629771,up,CHCHD10,718,chr22,-,24108020,24110159,16.002632,13.470772,14.087231,15.872518,15.810926,12.472783,0.0012317566399762357
ASHGV40048385,4.64769,up,PTPRZ1,8169,chr7,+,121513158,121702090,5.2231984,5.9894457,4.6484914,4.523735,4.9975457,2.8599694,2.7405839311876807e-5
ASHGV40005751,7.1592137,up,TSPAN15,1726,chr10,+,71211225,71267423,8.046407,8.351957,9.286961,9.607695,6.8035407,5.579511,4.4100481849863296e-4
ASHGV40013879,2.9524966,up,CMA1,935,chr14,-,24974560,24977471,10.344257,7.658665,8.652779,9.372919,8.994457,7.44268,0.007479741585418741
ASHGV40057655,6.0114767,up,MAGEA4,1727,chrX,+,151084708,151093642,2.3348548,3.143734,2.3237648,5.797414,11.172917,2.3668175,0.16202940090220558
ASHGV40015773,8.1842139,up,PVRL4,3520,chr1,-,161040780,161059385,7.9478397,2.765596,7.8161707,6.0593805,2.4093199,2.3668175,0.035033917026548254
ASHGV40033885,5.0041875,up,FAM19A5,2620,chr22,+,48885271,49147747,7.302373,5.840089,5.1728826,4.537252,5.3003697,3.3074574,0.0010797711295415016
ASHGV40019057,2.1679525,up,C16orf78,1104,chr16,+,49407718,49433342,2.3348548,7.719747,2.3237648,2.7125797,2.324807,2.3668175,0.3237984105440618
ASHGV40003271,8.0013568,up,SOX3,2074,chrX,-,139585151,139587225,6.3124638,9.227825,4.3867435,10.593122,8.889004,4.881587,0.027442329708707892
ASHGV40039531,2.9943632,up,TLR2,3417,chr4,+,154605440,154627242,9.411264,9.11156,7.8091135,9.101229,7.450473,6.9944787,0.003900224751967355
ASHGV40030524,3.3563028,up,PAK7,4777,chr20,-,9518036,9819687,7.1954308,6.376987,2.3237648,2.3474622,2.324807,2.3668175,0.15051308607995886
ASHGV40031863,2.0124259,up,TUBB1,3496,chr20,+,57594308,57601709,3.2186816,3.4106097,4.123674,2.3474622,3.7783384,2.3668175,0.009950818976324901
ASHGV40031800,3.8596435,up,MC3R,1084,chr20,+,54823787,54824871,3.5532594,5.285541,3.9163945,4.329786,4.4914446,2.3668175,1.5933500572618928e-4
ASHGV40043633,2.410795,up,COL21A1,4193,chr6,-,55921387,56112378,4.6162276,4.8466287,4.046507,2.3474622,2.324807,2.3668175,0.04871146863627597
ASHGV40024683,107.1120217,up,KLK8,1023,chr19,-,51499263,51504958,11.599691,4.980407,11.851455,9.495323,12.996917,3.441782,0.0014392288774325638
